,date,cc_data,,dates,I
sc_884,2022-03-06,0,,2022-03-02,60.71314593
sc_884,2022-03-07,0,,2022-03-03,67.28638474
sc_884,2022-03-08,0,,2022-03-04,74.94318869
sc_884,2022-03-09,0,,2022-03-05,84.08451628
sc_884,2022-03-10,31,,2022-03-06,94.79319123
sc_884,2022-03-11,0,,2022-03-07,106.7449891
sc_884,2022-03-12,0,,2022-03-08,119.3208347
sc_884,2022-03-13,0,,2022-03-09,131.8244395
sc_884,2022-03-14,0,,2022-03-10,143.83083
sc_884,2022-03-15,0,,2022-03-11,155.6920667
sc_884,2022-03-16,0,,2022-03-12,168.4231741
sc_884,2022-03-18,11,,2022-03-13,182.4518069
sc_884,2022-03-19,0,,2022-03-14,197.5738752
sc_884,2022-03-20,0,,2022-03-15,213.2821897
sc_884,2022-03-21,0,,2022-03-16,228.9809379
sc_884,2022-03-22,0,,2022-03-17,244.1029828
sc_884,2022-03-23,0,,2022-03-18,258.1835838
sc_884,2022-03-24,0,,2022-03-19,270.9111918
sc_884,2022-03-25,0,,2022-03-20,282.1918649
sc_884,2022-03-30,25,,2022-03-21,292.2480035
sc_884,2022-04-01,0,,2022-03-22,301.674166
sc_884,2022-04-02,0,,2022-03-23,310.850148
sc_884,2022-04-03,0,,2022-03-24,319.4874593
sc_884,2022-04-04,14,,2022-03-25,327.0192029
sc_884,2022-04-06,7,,2022-03-26,332.9452458
sc_884,2022-04-08,0,,2022-03-27,337.0494653
sc_884,2022-04-10,0,,2022-03-28,339.5434443
sc_884,2022-04-11,0,,2022-03-29,341.0688655
sc_884,2022-04-12,0,,2022-03-30,342.486381
sc_884,2022-04-13,0,,2022-03-31,344.5441518
sc_884,2022-04-14,0,,2022-04-01,347.3527307
sc_884,2022-04-18,6,,2022-04-02,350.4387319
sc_884,2022-04-19,33,,2022-04-03,354.4087902
