dates,R_49049,,R_264,,,R_29019,,R_45045,,R_ca354,,R_co116,,R_oh102,,R_wi203
20/05/2022,0.915888502,,1.152295281,,,1.145756901,,0.943756649,,0.999670409,,1.061985171,,0.642149632,,1.009843353
21/05/2022,0.975443301,,1.146207373,,,1.127413626,,0.965260396,,0.992455691,,1.054667963,,0.652302084,,0.997663152
22/05/2022,1.058362944,,1.138708095,,,1.109984439,,0.963161135,,0.984959447,,1.045644244,,0.667103164,,0.989270945
23/05/2022,1.157585894,,1.13067453,,,1.093797728,,0.94317625,,0.977619409,,1.035103857,,0.68820454,,0.984410403
24/05/2022,1.256447301,,1.122958547,,,1.078726542,,0.914579378,,0.970778711,,1.02361524,,0.717824713,,0.982525801
25/05/2022,1.337634842,,1.115862338,,,1.064304714,,0.886218003,,0.96451709,,1.011773184,,0.757523287,,0.982714036
26/05/2022,1.393838086,,1.109138481,,,1.050087224,,0.86168231,,0.958761984,,0.999911859,,0.806482524,,0.983815929
27/05/2022,1.429887316,,1.102291939,,,1.036062603,,0.841503856,,0.953366286,,0.988108251,,0.860661639,,0.984691374
28/05/2022,1.457262073,,1.094889598,,,1.022585968,,0.825637104,,0.948136686,,0.976247719,,0.913124508,,0.984685323
29/05/2022,1.486329962,,1.086616545,,,1.010182506,,0.813713472,,0.942866357,,0.964093379,,0.956333245,,0.983689166
30/05/2022,1.521595953,,1.07705443,,,0.999043118,,0.805052222,,0.937443844,,0.951378406,,0.98564473,,0.981776488
31/05/2022,1.563719293,,1.065883126,,,0.988886226,,0.798425736,,0.932078877,,0.937961477,,0.999490999,,0.979166253
01/06/2022,1.608346475,,1.052840708,,,0.97942172,,0.792617365,,0.927360948,,0.924076783,,0.998903748,,0.976189827
02/06/2022,1.647511941,,1.038077748,,,0.970517984,,0.787005162,,0.923986818,,0.910465805,,0.987010674,,0.973192064
03/06/2022,1.674755173,,1.022191177,,,0.962155939,,0.781827275,,0.922498822,,0.898185734,,0.968281099,,0.970365918
04/06/2022,1.689285217,,1.0060016,,,0.954370434,,0.778142032,,0.923100902,,0.888335362,,0.947503768,,0.96760145
05/06/2022,1.693740215,,0.990355564,,,0.947367992,,0.777479106,,0.925709391,,0.881728479,,0.928235627,,0.964592973
06/06/2022,1.690692071,,0.976101223,,,0.941962857,,0.781443526,,0.930145617,,0.878594512,,0.911131863,,0.961003338
