,date,cc_data,,dates,I
ca_354,2022-10-07,16,,2022-09-23,17.78898634
ca_354,2022-10-08,7,,2022-09-24,17.54187205
ca_354,2022-10-09,12,,2022-09-25,17.25082178
ca_354,2022-10-10,17,,2022-09-26,16.92558613
ca_354,2022-10-11,19,,2022-09-27,16.58426178
ca_354,2022-10-12,7,,2022-09-28,16.24853606
ca_354,2022-10-13,16,,2022-09-29,15.93589703
ca_354,2022-10-14,14,,2022-09-30,15.64750244
ca_354,2022-10-15,8,,2022-10-01,15.35315732
ca_354,2022-10-16,6,,2022-10-02,15.01685177
ca_354,2022-10-17,13,,2022-10-03,14.6355271
ca_354,2022-10-18,17,,2022-10-04,14.22674812
ca_354,2022-10-19,11,,2022-10-05,13.81548613
ca_354,2022-10-20,14,,2022-10-06,13.42609981
ca_354,2022-10-21,8,,2022-10-07,13.07793423
ca_354,2022-10-22,7,,2022-10-08,12.78269
ca_354,2022-10-23,16,,2022-10-09,12.54425889
ca_354,2022-10-24,18,,2022-10-10,12.35891219
ca_354,2022-10-25,18,,2022-10-11,12.2158071
ca_354,2022-10-26,17,,2022-10-12,12.09676888
ca_354,2022-10-27,7,,2022-10-13,11.9715768
ca_354,2022-10-28,11,,2022-10-14,11.83914932
ca_354,2022-10-29,9,,2022-10-15,11.72724477
ca_354,2022-10-30,9,,2022-10-16,11.67013604
ca_354,2022-10-31,16,,2022-10-17,11.69400031
ca_354,2022-11-01,19,,2022-10-18,11.80797254
ca_354,2022-11-02,18,,2022-10-19,11.99958512
ca_354,2022-11-03,6,,2022-10-20,12.24026717
ca_354,2022-11-04,12,,2022-10-21,12.49490894
ca_354,2022-11-05,11,,2022-10-22,12.73728485
ca_354,2022-11-06,20,,2022-10-23,12.97299294
ca_354,2022-11-07,24,,2022-10-24,13.22888888
ca_354,2022-11-08,25,,2022-10-25,13.51576749
ca_354,2022-11-09,31,,2022-10-26,13.84791559
ca_354,2022-11-10,17,,2022-10-27,14.23766647
ca_354,2022-11-11,17,,2022-10-28,14.69001185
ca_354,2022-11-12,9,,2022-10-29,15.19930748
ca_354,2022-11-13,17,,2022-10-30,15.74740575
ca_354,2022-11-14,30,,2022-10-31,16.30711047
ca_354,2022-11-15,23,,2022-11-01,16.8483652
ca_354,2022-11-16,19,,2022-11-02,17.34863172
ca_354,2022-11-17,26,,2022-11-03,17.80957898
ca_354,2022-11-18,23,,2022-11-04,18.25420537
ca_354,2022-11-19,12,,2022-11-05,18.66475951
ca_354,2022-11-20,20,,2022-11-06,19.04449959
ca_354,2022-11-21,31,,2022-11-07,19.41876979
ca_354,2022-11-22,36,,2022-11-08,19.81768843
ca_354,2022-11-23,23,,2022-11-09,20.26510912
ca_354,2022-11-24,13,,2022-11-10,20.77207264
ca_354,2022-11-25,43,,2022-11-11,21.3366794
ca_354,2022-11-26,28,,2022-11-12,21.94801179
ca_354,2022-11-27,28,,2022-11-13,22.59143353
ca_354,2022-11-28,50,,2022-11-14,23.25646731
ca_354,2022-11-29,41,,2022-11-15,23.97483473
ca_354,2022-11-30,35,,2022-11-16,24.84790222
ca_354,2022-12-01,38,,2022-11-17,25.89415263
ca_354,2022-12-02,32,,2022-11-18,27.06236219
ca_354,2022-12-03,25,,2022-11-19,28.2722841
