,date,cc_data,,dates,I
co_116,2021-06-05,33,,2021-04-13,88.08269334
co_116,2021-06-06,44,,2021-04-14,84.06621934
co_116,2021-06-07,34,,2021-04-15,80.10155594
co_116,2021-06-08,56,,2021-04-16,76.33503302
co_116,2021-06-09,45,,2021-04-17,72.8887622
co_116,2021-06-10,66,,2021-04-18,69.84550631
co_116,2021-06-11,40,,2021-04-19,67.22335857
co_116,2021-06-12,12,,2021-04-20,64.93952734
co_116,2021-06-13,26,,2021-04-21,62.84201087
co_116,2021-06-14,30,,2021-04-22,60.9688418
co_116,2021-06-15,22,,2021-04-23,59.38735833
co_116,2021-06-16,18,,2021-04-24,58.12445603
co_116,2021-06-17,10,,2021-04-25,57.16812202
co_116,2021-06-18,14,,2021-04-26,56.46807959
co_116,2021-06-19,8,,2021-04-27,55.93443795
co_116,2021-06-20,21,,2021-04-28,55.43901764
co_116,2021-06-21,18,,2021-04-29,54.83506357
co_116,2021-06-22,18,,2021-04-30,53.98800264
co_116,2021-06-23,30,,2021-05-01,52.82178212
co_116,2021-06-24,25,,2021-05-02,51.38359045
co_116,2021-06-25,14,,2021-05-03,49.85057225
co_116,2021-06-26,14,,2021-05-04,48.20585533
co_116,2021-06-27,22,,2021-05-05,46.35174199
co_116,2021-06-28,11,,2021-05-06,44.27900672
co_116,2021-06-29,32,,2021-05-07,42.03843669
co_116,2021-06-30,12,,2021-05-08,39.71123272
co_116,2021-07-01,22,,2021-05-09,37.3882838
co_116,2021-07-02,32,,2021-05-10,35.15509259
co_116,2021-07-03,24,,2021-05-11,33.08036133
co_116,2021-07-04,21,,2021-05-12,31.21022113
co_116,2021-07-05,18,,2021-05-13,29.56060644
co_116,2021-07-06,31,,2021-05-14,28.10650777
co_116,2021-07-07,38,,2021-05-15,26.77315801
co_116,2021-07-08,38,,2021-05-16,25.47093346
co_116,2021-07-09,16,,2021-05-17,24.08985894
co_116,2021-07-10,50,,2021-05-18,22.64806325
co_116,2021-07-11,32,,2021-05-19,21.25529701
co_116,2021-07-12,51,,2021-05-20,20.04335392
co_116,2021-07-13,58,,2021-05-21,19.11851463
co_116,2021-07-14,22,,2021-05-22,18.53058814
co_116,2021-07-15,50,,2021-05-23,18.25954391
co_116,2021-07-16,39,,2021-05-24,18.23176245
co_116,2021-07-17,44,,2021-05-25,18.34491048
co_116,2021-07-18,31,,2021-05-26,18.50491103
co_116,2021-07-19,38,,2021-05-27,18.67965701
co_116,2021-07-20,36,,2021-05-28,18.93907696
co_116,2021-07-21,74,,2021-05-29,19.34740628
co_116,2021-07-22,30,,2021-05-30,19.95766729
co_116,2021-07-23,50,,2021-05-31,20.81246412
co_116,2021-07-24,44,,2021-06-01,21.93034761
co_116,2021-07-25,34,,2021-06-02,23.29640962
co_116,2021-07-26,52,,2021-06-03,24.85498733
co_116,2021-07-27,68,,2021-06-04,26.50728302
co_116,2021-07-28,62,,2021-06-05,28.1295673
co_116,2021-07-29,38,,2021-06-06,29.60110801
co_116,2021-07-30,46,,2021-06-07,30.846288
co_116,2021-07-31,36,,2021-06-08,31.89440023
co_116,2021-08-01,56,,2021-06-09,32.89233164
co_116,2021-08-02,40,,2021-06-10,33.86660185
co_116,2021-08-03,123,,2021-06-11,34.7988366
co_116,2021-08-04,66,,2021-06-12,35.68842455
co_116,2021-08-05,69,,2021-06-13,36.54592813
co_116,2021-08-06,60,,2021-06-14,37.38741144
co_116,2021-08-07,61,,2021-06-15,38.23038236
co_116,2021-08-08,54,,2021-06-16,39.09009432
co_116,2021-08-09,49,,2021-06-17,39.97739553
co_116,2021-08-10,74,,2021-06-18,40.89842095
co_116,2021-08-11,84,,2021-06-19,41.8538256
co_116,2021-08-12,53,,2021-06-20,42.83780071
co_116,2021-08-13,116,,2021-06-21,43.83819568
co_116,2021-08-14,50,,2021-06-22,44.84622989
co_116,2021-08-15,26,,2021-06-23,45.85557222
co_116,2021-08-16,117,,2021-06-24,46.86719086
